date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:59:00	290/290	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2006%20May%202018%2013:58:57%20GMT	http://marianodigabriele.com/robots.txt		(from )
09:59:02	80503/80503	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20May%202018%2013:58:59%20GMT	http://marianodigabriele.com/	/Users/xbw881/websites/mariano/marianodigabriele.com/index.html	(from )
09:59:02	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2006%20May%202018%2013:59:01%20GMT	http://marianodigabriele.com/xmlrpc.php	/Users/xbw881/websites/mariano/marianodigabriele.com/xmlrpc.php	(from http://marianodigabriele.com/)
09:59:03	21133/21133	---MCZ	200	added ('OK')	text/css	date:Thu,%2001%20Feb%202018%2000:49:43%20GMT	http://marianodigabriele.com/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider.css?ver=6.6.8	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/plugins/LayerSlider/static/layerslider/css/layersliderf7b3.css	(from http://marianodigabriele.com/)
09:59:04	39755/39755	---MCZ	200	added ('OK')	text/css	date:Thu,%2001%20Feb%202018%2000:49:42%20GMT	http://marianodigabriele.com/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.6.6	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/plugins/revslider/public/assets/css/settingsbde7.css	(from http://marianodigabriele.com/)
09:59:06	16615/16615	---MCZ	200	added ('OK')	text/css	date:Wed,%2011%20Apr%202018%2002:46:34%20GMT	http://marianodigabriele.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=3.3.5	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout46df.css	(from http://marianodigabriele.com/)
09:59:06	8358/8358	---MC-	200	added ('OK')	application/rss+xml	date:Tue,%2008%20Sep%202015%2012:33:45%20GMT	http://marianodigabriele.com/?feed=comments-rss2	/Users/xbw881/websites/mariano/marianodigabriele.com/indexa6da.html	(from http://marianodigabriele.com/)
09:59:06	6818/6818	---MCZ	200	added ('OK')	text/css	date:Wed,%2011%20Apr%202018%2002:46:34%20GMT	http://marianodigabriele.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=3.3.5	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen46df.css	(from http://marianodigabriele.com/)
09:59:07	61938/61938	---MCZ	200	added ('OK')	text/css	date:Wed,%2011%20Apr%202018%2002:46:34%20GMT	http://marianodigabriele.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.3.5	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/plugins/woocommerce/assets/css/woocommerce46df.css	(from http://marianodigabriele.com/)
09:59:09	2238/2238	---MCZ	200	added ('OK')	text/css	date:Thu,%2001%20Feb%202018%2000:48:45%20GMT	http://marianodigabriele.com/wp-content/themes/the-core-parent/style.css?ver=4.9.5	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/themes/the-core-parent/style55fe.css	(from http://marianodigabriele.com/)
09:59:10	31000/31000	---MCZ	200	added ('OK')	text/css	date:Tue,%2006%20Mar%202018%2000:39:20%20GMT	http://marianodigabriele.com/wp-content/plugins/unyson/framework/static/libs/font-awesome/css/font-awesome.min.css?ver=2.7.12	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/plugins/unyson/framework/static/libs/font-awesome/css/font-awesome.min4537.css	(from http://marianodigabriele.com/)
